CAMIS,RESTAURANT,BUILDING,STREET,ZIPCODE,PHONE,CUISINE_DESCRIPTION,CRITICALFLAG
50084831,THE RIBBON,220,WEST   44 STREET,10036.0,2129442474,American,Critical
41399893,LA COLOMBE,270,LAFAYETTE STREET,10012.0,2157761076,Coffee/Tea,Not Critical
41075977,SOPHIE'S RESTAURANT,369,LEXINGTON AVENUE,10017.0,2129223576,Spanish,Critical
50018415,BREAD & BUTTER,14,EAST   44 STREET,10017.0,2128830444,Soups_Salads_Sandwiches_Beverages,Critical
41279614,BLUE RIBBON SUSHI BAR & GRILL,6,COLUMBUS CIRCLE,10019.0,2123970404,Japanese,Critical
50011891,TWO HANDS,164,MOTT STREET,10013.0,2019934484,American,Critical
41486522,BOXERS NYC,37,WEST   20 STREET,10011.0,2122555082,American,Critical
50080623,MOCHA CAFE,203,EAST  121 STREET,10035.0,2129962600,Coffee/Tea,Critical
40635454,THE LOWELL,28,EAST   63 STREET,10065.0,2126056859,American,Critical
50077886,ART BIRD & WHISKEY BAR,89,EAST   42 STREET,10017.0,6469923828,Chicken,Not Critical
40510389,ZARO'S BREAD BASKET,1,PENNSYLVANIA STATION (AMTRACK),10121.0,2122920405,Bakery,Critical
41661367,THE CHIPPED CUP,3610,BROADWAY,10031.0,9179519215,Coffee/Tea,Not Critical
50042621,RAIN II,1095,SAINT NICHOLAS AVENUE,10032.0,3475834044,Thai,Critical
50102465,LA QUINTA INNS AND SUITES,31,WEST   71 STREET,10023.0,2127219770,American,Critical
50060008,SUSHI GAMA,1403,2 AVENUE,10021.0,2128792393,Japanese,Critical
41280792,JOHNNY UTAHS,25,WEST   51 STREET,10019.0,2122658824,American,Not Critical
50015592,YAKITORI TORA,72,KENMARE STREET,10012.0,2129661100,Japanese,Not Critical
50084829,FRIEDMAN'S,130,WEST   72 STREET,10023.0,6468642289,American,Not Critical
50013511,THE WILD SON,53,LITTLE WEST   12 STREET,10014.0,2127277900,Spanish,Not Critical
50100549,RITZ DINER,1133,1 AVENUE,10065.0,2123194993,American,Critical
50005390,JUMBO PIZZA,3594,BROADWAY,10031.0,2122914991,Pizza,Critical
41448559,HIGHLANDS RESTAURANT,150,WEST   10 STREET,10014.0,2122292670,Irish,Critical
50017978,HOLIDAY COCKTAIL LOUNGE,75,SAINT MARKS PLACE,10003.0,2127779637,American,Not Critical
50081677,SALA THAI,307,AMSTERDAM AVENUE,10023.0,2124333999,Thai,Critical
50089139,PENNY JO'S,3898,BROADWAY,10032.0,6466092216,Soups_Salads_Sandwiches_Beverages,Not Critical
41557716,KITARO,510,AMSTERDAM AVENUE,10024.0,2127879008,Chinese,Critical
41687345,JACK DOYLES PUB & RESTAURANT,240,WEST   35 STREET,10001.0,2122681255,Irish,Critical
50082270,PRINCESOS NY,1506B,SAINT NICHOLAS AVENUE,10033.0,6464209869,Bakery,Not Critical
50103352,A10TH KITCHEN,162,AVENUE A,10009.0,9172616888,American,Not Critical
40391002,DANIEL'S BAGEL,569,THIRD AVENUE,10016.0,2129729733,Bakery,Critical
41231878,IL BRIGANTE,214,FRONT STREET,10038.0,2122850222,Italian,Critical
50111280,PLANTSHED COFFEE BAR,723,AMSTERDAM AVENUE,10025.0,2126624400,Coffee/Tea,Critical
50080893,DUNKIN,882,LEXINGTON AVENUE,10065.0,6095866680,Bakery,Critical
50106422,OCULUS BEER GARDEN,33,VESEY STREET,10007.0,9172843261,American,Critical
50070049,LA MIA PIZZA,1580,1 AVENUE,10028.0,2124721200,Pizza,Not Critical
50099515,POMODORO,518,9 AVENUE,10018.0,2122397019,Italian,Critical
41576836,DELI ON MADISON,420,MADISON AVENUE,10017.0,2123086140,American,Critical
50044841,DUNKIN BASKIN ROBBINS,57,EAST  125 STREET,10035.0,6463402446,Bakery,Not Critical
40366396,DESMOND'S TAVERN,433,PARK AVENUE SOUTH,10016.0,2126849472,American,Not Critical
41532069,RUBIROSA PIZZA & RISTORANTE,235,MULBERRY STREET,10012.0,2129650500,Pizza,Critical
50004389,ROXY DINER,694,8 AVENUE,10036.0,2125759700,American,Critical
41378724,SCHNIPPER'S QUALITY KITCHEN,620,8 AVENUE,10018.0,2129212400,American,Not Critical
41267566,SMITH & MILLS,71,NORTH MOORE STREET,10013.0,2122262515,American,Critical
50094400,ZEROSPACE,401,7 AVENUE,10001.0,7179197570,American,Not Critical
41387224,B AND B RESTAURANT,165,WEST   26 STREET,10001.0,6464298174,African,Critical
50073027,K*CHICKEN,528,9 AVENUE,10018.0,2127609090,Chicken,Critical
50045928,ESSEN,699,AVENUE OF AMERICAS,10010.0,2126330820,Soups_Salads_Sandwiches_Beverages,Not Critical
41497089,EL NUEVO TAINO,2228,AMSTERDAM AVENUE,10032.0,2125439635,Latin American,Critical
41040849,DISHES,6,EAST   45 STREET,10017.0,2126875511,American,Not Critical
50076107,LUCKY,168,AVENUE B,10009.0,2127773111,Other,Critical
50095962,GREEN GARDEN VILLAGE,216,GRAND STREET,10013.0,6469129136,Chinese,Critical
50069956,FIASCHETTERIA PISTOIA,647,E 11TH ST,10009.0,2127773355,Italian,Critical
40399922,WHITE CASTLE,20922094,7TH AVE,,2126663556,American,Critical
50084490,ULUH,152,2 AVENUE,10003.0,9172615963,Chinese,Critical
50004503,MAISON KAYSER,1800,BROADWAY,10019.0,2122454100,Bakery,Critical
50043521,SUBWAY,442,WEST   45 STREET,10036.0,2127572930,Soups_Salads_Sandwiches_Beverages,Critical
41702826,NINOS 46,39,WEST   46 STREET,10036.0,2127194015,Italian,Not Critical
50091394,LATIN OUT CHEESESTEAK,710,9 AVENUE,10019.0,2122460867,Mexican,Critical
41175648,TRINITY PLACE BAR & RESTAURANT,115,BROADWAY,10006.0,2129640939,American,Not Critical
50079233,CURRY EXPRESS,130,EAST   29 STREET,10016.0,7188096909,Indian Subcontinent,Critical
40677036,LE ZIE TRATTORIA,172,7 AVENUE,10011.0,2122068686,Italian,Not Critical
50043840,EXECUTIVE DINING ROOM,114,WEST   47 STREET,10036.0,2128523035,American,Critical
50064285,E.A.K. RAMEN,469,6 AVENUE,10011.0,6468632027,Japanese,Critical
50041989,MENTOKU,744,9 AVENUE,10019.0,2129561784,Japanese,Critical
50048671,JACQUES BRASSERIE,204,EAST   85 STREET,10028.0,2123272272,French,Critical
50076784,R & T PIZZA,2236,AMSTERDAM AVENUE,10032.0,2127959019,Pizza,Not Critical
50071298,DUE WEST,189,WEST   10 STREET,10014.0,6466874609,American,Critical
40880188,HEIDELBERG RESTAURANT,1648,2 AVENUE,10028.0,2126282332,European,Critical
50002502,LE REVE,125,EAST   54 STREET,10022.0,2127597777,Middle Eastern,Critical
50078229,JOE & THE JUICE,1320,3 AVENUE,10021.0,9175665727,Soups_Salads_Sandwiches_Beverages,Critical
50060885,THE SHADMOOR,1066,2 AVENUE,10022.0,7186690040,Seafood,Critical
41514945,CHOP'T,80,PINE STREET,10005.0,9173384803,Soups_Salads_Sandwiches_Beverages,Not Critical
50042378,LE COQ RICO,30,EAST   20 STREET,10003.0,2122677426,French,Critical
50043852,L'EXPRESS,249,PARK AVENUE SOUTH,10003.0,2122545858,French,Critical
40367373,JACKSON HOLE,232,EAST   64 STREET,10065.0,2123717187,American,Not Critical
50002109,DUNKIN,4030,BROADWAY,10032.0,2129232222,Bakery,Critical
50094005,DALUP,350,7 AVENUE,10001.0,2127293668,Indian Subcontinent,Critical
41577558,SUBWAY,36,WEST   46 STREET,10036.0,2122217565,Soups_Salads_Sandwiches_Beverages,Critical
50046291,BITE,62,WEST   22 STREET,10010.0,6466492768,Mediterranean,Critical
50000587,CHIPOTLE MEXICAN GRILL,2298,BROADWAY,10024.0,6464126237,Tex-Mex,Not Critical
41608998,BAR MISHIMA,212,EAST   52 STREET,10022.0,2125881089,Japanese,Not Critical
50014226,EL GRAN VALLE IV RESTAURANT,1944,AMSTERDAM AVENUE,10032.0,2123687100,Latin American,Critical
41612489,PREMIER CAFE,856,7 AVENUE,10019.0,2127574477,American,Critical
50070940,PAPA JOHN'S PIZZA,896,AMSTERDAM AVENUE,10025.0,2128647272,Pizza,Critical
50064557,VENIERO'S BAKERY,340-342,E 11TH ST,10003.0,2126747070,Bakery,Not Critical
40906867,SUBWAY,173,WEST   26 STREET,10001.0,2122557647,Soups_Salads_Sandwiches_Beverages,Critical
41627819,JACOB'S PICKLES,509,AMSTERDAM AVENUE,10024.0,2124705566,American,Critical
50009542,CAFE OLYMPIA,664,LEXINGTON AVENUE,10022.0,2123558383,Soups_Salads_Sandwiches_Beverages,Critical
50057093,WESTVILLE WALL STREET,110,WALL STREET,10005.0,2129242203,American,Not Critical
50055243,THAI VILLA,5,EAST   19 STREET,10003.0,2128029999,Thai,Critical
50043818,PAPAYA DOG,333,6 AVENUE,10014.0,2126279748,American,Not Critical
40918355,"TREADWELL PARK, SUGAR EAST",1125,1 AVENUE,10065.0,2128321551,Barbecue & Steakhouse,Critical
40606331,PARK ITALIAN GOURMET,60,WEST   45 STREET,10036.0,2123820580,Italian,Not Critical
50085369,7 GRAMS CAFFE,76,MADISON AVENUE,10016.0,2127271777,Coffee/Tea,Not Critical
50105267,TAKUMI TACO,97,WEST   32 STREET,10001.0,2129120035,Tex-Mex,Critical
40369940,THE NEW AMITY RESTAURANT,1134,MADISON AVENUE,10028.0,2128613255,American,Not Critical
50057195,CAT LOUNGE,96,GREENWICH STREET,10006.0,9173272832,American,Critical
50065460,JADE HOUSE,2131,AMSTERDAM AVENUE,10032.0,2127950975,Chinese,Not Critical
50064806,PURE GREEN,45,EAST   45 STREET,10017.0,9174438917,Soups_Salads_Sandwiches_Beverages,Critical
50113240,3 TIMES,38,WATER STREET,10004.0,9293077777,Southeast Asian,Not Critical
40563041,RAY'S CANDY STORE,113,AVENUE A,10009.0,9173407855,American,Critical
50041853,THE LITTLE BEET,320,PARK AVENUE,10022.0,2124599601,American,Critical
50072316,BUTTERCUP BAKESHOP,973,2 AVENUE,10022.0,6466109258,Bakery,Critical
41120866,"LA ESQUINA ""THE CORNER""",106,KENMARE STREET,10012.0,6468799781,Mexican,Not Critical
41483297,CO BA RESTAURANT,110,9 AVENUE,10011.0,2124142700,Southeast Asian,Not Critical
40386976,LUPE'S EAST L.A. KITCHEN,110,AVENUE OF THE AMERICAS,10013.0,2129661326,Mexican,Critical
41570163,NEW CRISPY BAMBOO,2526,FREDERICK DOUGLAS BOULEVARD,10030.0,2126945396,Chinese,Critical
40392339,ABSOLUTE BAGELS,2788,BROADWAY,10025.0,2129322105,Bakery,Critical
40392724,JAIYA THAI ORIENTAL RESTAURANT,396,THIRD AVENUE,10016.0,2128891330,Thai,Critical
50055296,SAPPHIRE 39,20,WEST   39 STREET,10018.0,2123556777,American,Critical
50044736,GEBHARD'S BEER CULTURE,228,WEST   72 STREET,10023.0,9176393420,American,Critical
50101339,SIX HAPPINESS,1413,2 AVENUE,10021.0,2129888002,Chinese,Critical
40854979,HYO DONG GAK,51,WEST   35 STREET,10001.0,2126957167,Korean,Not Critical
40788471,STARBUCKS,30,ROCKFEELLER PLAZA,,2125860914,Coffee/Tea,Critical
50084742,CREDITSUISSE - 2 BELOW,11,MADISON AVENUE,10010.0,9084516718,American,Not Critical
40550666,LITE DELIGHTS,51,EAST HOUSTON STREET,10012.0,2129664471,American,Not Critical
50084938,TACO BELL CANTINA,500,8 AVENUE,10018.0,9292323040,Tex-Mex,Critical
41422201,SLATE,54,WEST   21 STREET,10010.0,2129890096,American,Not Critical
40799384,LA PALAPA,77,ST MARKS PLACE,10003.0,2127772537,Mexican,Critical
41273144,LA COLOMBE TORREFACTION,319,CHURCH STREET,10013.0,2123431515,Coffee/Tea,Not Critical
50065534,YORKVILLE BAGEL & CAFE,1821,2 AVENUE,10128.0,2129966544,American,Not Critical
41467165,CHELSEA PAPAYA,171,WEST   23 STREET,10011.0,2123529060,American,Critical
41331780,STARBUCKS,229,SEVENTH AVENUE,10011.0,2122558761,Coffee/Tea,Critical
50086804,THE ROW HARLEM,2374,ADAM CLAYTON POWELL JR BOULEVARD,,6467679582,American,Not Critical
50064646,IMLI,1136,1 AVENUE,10065.0,2122560073,Indian Subcontinent,Not Critical
41647682,MICKEY SPILLANE'S HELL'S KITCHEN NYC,350,WEST   49 STREET,10019.0,2126001672,American,Critical
41106233,ROSA MEXICANO,9,EAST   18 STREET,10003.0,2125333350,Mexican,Critical
41546041,HEIDI'S HOUSE BY THE SIDE OF THE ROAD,308,EAST   78 STREET,10075.0,2122490069,American,Critical
50058023,OLIVER COFFEE,5,OLIVER STREET,10038.0,4153176266,Coffee/Tea,Critical
40716092,TRIBECA PARK CAFE,1,WALKER STREET,10013.0,2122260665,Soups_Salads_Sandwiches_Beverages,Critical
50088729,JUICOLOGY KITCHEN,115,WEST   30 STREET,10001.0,6464846550,Soups_Salads_Sandwiches_Beverages,Critical
50034499,BURGER KING,154,EAST  116 STREET,10029.0,2124269532,American,Not Critical
50093562,WESTSIDE 57 RESTAURANT,858,10 AVENUE,10019.0,2124895007,Tex-Mex,Critical
40815605,CHOP'T,24,EAST   17 STREET,10003.0,6463365523,Soups_Salads_Sandwiches_Beverages,Not Critical
50047667,LIBERTY BAGEL MIDTOWN,260,WEST   35 STREET,10001.0,2122791124,Bakery,Not Critical
50102118,TACO BELL CANTINA #036012,976,6 AVENUE,10018.0,332_213_00,Tex-Mex,Not Critical
41693280,MELT SHOP,55,WEST   26 STREET,10010.0,2124476358,American,Not Critical
50035784,BIG WONG RESTAURANT,67,MOTT STREET,10013.0,2129640540,Chinese,Critical
50055661,XI'AN FAMOUS FOODS,45,BAYARD STREET,10013.0,7188857788,Southeast Asian,Not Critical
50062919,CHA CHA MATCHA,1158,BROADWAY,10001.0,7033719738,Coffee/Tea,Critical
40567533,THE THIRSTY SCHOLAR,155,2 AVENUE,10003.0,2127776514,American,Critical
50078890,BARKING DOG,1678,3 AVENUE,10128.0,2128311800,American,Not Critical
41243023,SHUKA,38,MACDOUGAL STREET,10012.0,2124757500,American,Not Critical
50051998,HUA XIA RESTAURANT,49,DIVISION STREET,10002.0,2129651926,Chinese,Not Critical
50016827,CULTURE 36,247,WEST   36 STREET,10018.0,6468613553,Coffee/Tea,Critical
50100685,BIAO SUGAR,1271,BROADWAY,10001.0,3477301794,Coffee/Tea,Not Critical
50086385,$1 PIZZA,832,6 AVENUE,10001.0,9175878888,Pizza,Critical
41095546,LE GRAINNE CAFE,183,9 AVENUE,10011.0,6464863000,French,Critical
41185798,SUNDAES AND CONES,95,EAST   10 STREET,10003.0,2129799398,Frozen Desserts,Critical
41696929,SCALLYWAG'S IRISH PUB & REST,508,9 AVENUE,10018.0,6464904803,Irish,Critical
50112322,WENDY'S,20,EAST   14 STREET,10003.0,2122430438,American,Not Critical
41134842,THE GARRET EAST,206,AVENUE A,10009.0,2122286231,American,Not Critical
50032595,GOEMON CURRY,29,KENMARE STREET,10012.0,2122261262,Japanese,Not Critical
50080768,THE GOOD KIND,90,RIVINGTON STREET,10002.0,6468840223,Coffee/Tea,Critical
40578732,STARBUCKS,296,3 AVENUE,10010.0,2125989651,Coffee/Tea,Not Critical
50100057,VESELKA ESSEX,115,DELANCEY STREET,10002.0,9173012232,European,Critical
40579607,PAUL & JIMMY'S RESTAURANT,123,EAST   18 STREET,10003.0,2124759540,Italian,Not Critical
50095032,ATTO,120,EAST   39 STREET,10016.0,2124334393,American,Critical
41168203,BENTO SUSHI,173,BROADWAY,10007.0,2124378744,Japanese,Not Critical
50001446,BENTO SUSHI & NOODLES,685,3 AVENUE,10017.0,2123981405,Japanese,Critical
50002470,PIZZETTERIA BRUNETTI,626,HUDSON STREET,10014.0,2122555699,Pizza,Critical
40609590,MORNINGSTAR RESTAURANT,949,2 AVENUE,10022.0,2125881050,American,Critical
50008310,DESI GALLI,101,LEXINGTON AVENUE,10016.0,2126832292,Indian Subcontinent,Not Critical
50016825,THE WAYLON,736,10 AVENUE,10019.0,2122650010,Tex-Mex,Not Critical
40557912,KISMAT INDIAN CUISINE,603,FORT WASHINGTON AVENUE,10040.0,2127958633,Indian Subcontinent,Not Critical
50033120,JAYA,90,BAXTER STREET,10013.0,2122193338,Southeast Asian,Not Critical
50070649,O! NIGIRI! THE RICEBALL FACTORY,94,SAINT MARKS PLACE,10009.0,6469228579,Southeast Asian,Not Critical
50095160,2234 GREAT WALL INC,2234,1 AVENUE,10029.0,2124264888,Chinese,Critical
50107643,MIMI'S PIZZA,217,EAST   86 STREET,10028.0,6468612518,Pizza,Critical
41420319,OCEANA,120,WEST   49 STREET,10019.0,2127595941,Seafood,Critical
40383496,THE GROTTO,69,NEW STREET,10004.0,2128096991,Pizza,Not Critical
50067245,TAQUERIA EMILIO,563,WEST  207 STREET,10034.0,6468761143,Mexican,Critical
50073690,SZECHUAN MOUNTAIN HOUSE,23,SAINT MARKS PLACE,10003.0,9173883866,Chinese,Critical
40750263,ROOM SERVICE KITCHEN,1535,BROADWAY,10036.0,2123981900,American,Not Critical
40998924,SUGAR SWEET SUNSHINE,126,RIVINGTON STREET,10002.0,2129951960,Bakery,Critical
50072798,HONG KONG STATION,157,WEST   47 STREET,10036.0,6464298277,Chinese,Not Critical
50073615,PIZZA MERCATO,11,WAVERLY PLACE,10003.0,2124208432,Pizza,Critical
41578669,SARAVANA BHAVAN,413,AMSTERDAM AVENUE,10024.0,2127217755,Vegan_Vegetarian,Critical
50067731,FRESH TORTILLAS,595,WEST  207 STREET,10034.0,2129426622,Mexican,Critical
40544576,YONAH SHIMMELS KNISHES,137,EAST HOUSTON STREET,10002.0,2124772858,European,Critical
41629335,CHIPOTLE MEXICAN GRILL,405,6 AVENUE,10014.0,9172436043,Tex-Mex,Not Critical
41627484,BAGEL EXPRESS,347,LEXINGTON AVENUE,10016.0,2122868887,Bakery,Not Critical
50101393,Sunflower Espresso Bar,344,WEST   38 STREET,10018.0,3477292550,Coffee/Tea,Critical
50087943,Wayan,20,SPRING STREET,10012.0,9172614388,Southeast Asian,Not Critical
50089195,DUNKIN',455,PARK AVENUE SOUTH,10016.0,2125325003,Bakery,Critical
50111541,BEATNIC,240,LAFAYETTE STREET,10012.0,3323332087,Vegan_Vegetarian,Critical
40400657,T-BAR STEAK & LOUNGE,1278,3 AVENUE,10021.0,2127720404,Barbecue & Steakhouse,Not Critical
41663204,54 BELOW,254,WEST   54 STREET,10019.0,6464763551,American,Critical
50056495,MARKLE RESIDENCE,123,WEST   13 STREET,10011.0,2122172332,American,Not Critical
50111805,OH K-DOG & EGG TOAST,70,7 AVENUE SOUTH,10014.0,9174091555,Korean,Critical
40513164,MCGEES PUB,240,WEST   55 STREET,10019.0,2129573536,American,Critical
50071051,DOMINO'S,1396,1 AVENUE,10021.0,3475995065,Pizza,Not Critical
41203533,GREAT TASTE BAKERY,3335,CATHERINE STREET,,6466424110,Bakery,Critical
41463547,SUBWAY,153,CHAMBERS STREET,10007.0,2125776779,Soups_Salads_Sandwiches_Beverages,Not Critical
50099879,99 CENTS TASTY PIZZA PLACE,360,WEST   42 STREET,10036.0,2122681461,Pizza,Critical
50033742,WHOLESOME GARDEN PIZZA,3529,BROADWAY,10031.0,6468611934,Pizza,Critical
50086458,PIZZA PLUS,4,SOUTH STREET,10004.0,2129431800,Pizza,Critical
41599164,DEL FRISCO'S GRILLE,60,ROCKEFELLER PLAZA,10020.0,2127670371,American,Not Critical
50070601,HELLO SAIGON,180,BLEECKER STREET,10012.0,2122542088,Southeast Asian,Not Critical
40402023,LE MARAIS,150,WEST   46 STREET,10036.0,2128690900,Jewish/Kosher,Not Critical
50055124,ST KILDA COFFEE,328,WEST   44 STREET,10036.0,3472605056,Coffee/Tea,Critical
50086949,ZONI CAFE,22,WEST   34 STREET,10001.0,2127369000,Coffee/Tea,Not Critical
50005320,FU ZHOU WEI ZONG WEI,88,EAST BROADWAY,10002.0,2124313555,Chinese,Critical
41595314,PITA GRILL,1083,2 AVENUE,10022.0,2127501122,Jewish/Kosher,Critical
50008409,CANTEEN M - CITIZEN M,218,WEST   50 STREET,10019.0,2124613638,Coffee/Tea,Critical
50101926,CAFE CHINA,13,EAST   37 STREET,10016.0,2122132810,Chinese,Not Critical
41491905,HILL COUNTRY CHICKEN,1123,BROADWAY,10010.0,6466881061,Chicken,Not Critical
40374277,MOLLY WEE PUB,402,8 AVENUE,10001.0,2129672627,Irish,Critical
40401821,THREE DECKER RESTAURANT,1746,2 AVENUE,10128.0,2122899936,American,Not Critical
40734589,THE GREEK KITCHEN | CLINTON BAKERY CAFE,889,10 AVENUE,10019.0,2125814300,European,Not Critical
41674573,5BAR KARAOKE,38,WEST   32 STREET,10001.0,2125946644,Korean,Critical
50101773,SHAKE SHACK,1700,BROADWAY,10019.0,9175947392,American,Not Critical
50045647,WU'S WONTON KING,165,EAST BROADWAY,10002.0,2124771111,Chinese,Not Critical
41478531,THE RED LION,151,BLEECKER STREET,10012.0,2122609797,American,Not Critical
41693374,ALEX CAFE & DELI,1018,LEXINGTON AVENUE,10021.0,2127449666,Soups_Salads_Sandwiches_Beverages,Not Critical
50015072,CROWN FRIED CHICKEN,117,AVENUE D,10009.0,2129822850,Chicken,Not Critical
50083153,MAKANA BBQ & POKE,161,WEST  106 STREET,10025.0,6467655999,American,Not Critical
50088514,CHICK-FIL-A,1000,AVENUE OF THE AMERICAS,10018.0,2127049920,Chicken,Not Critical
40550155,PARISI BAKERY,198,MOTT STREET,10012.0,2122266378,Soups_Salads_Sandwiches_Beverages,Critical
50047412,CURRY-YA,1467,AMSTERDAM AVENUE,10027.0,6468613833,Japanese,Not Critical
50044927,DOS TOROS TAQUERIA,636,LEXINGTON AVENUE,10022.0,3474865856,Mexican,Critical
41151989,WIMPY'S RESTAURANT,1232,ST NICHOLAS AVENUE,10032.0,2129288085,American,Not Critical
50105561,DAVIDOVICH BAKERY,79,CLINTON STREET,10002.0,6465595558,Bakery,Not Critical
50048303,THE BUTCHER'S DAUGHTER,581,HUDSON STREET,10014.0,9173882132,Vegan_Vegetarian,Not Critical
41627996,LA COLOMBE,400,LAFAYETTE STREET,10003.0,2126775834,Coffee/Tea,Not Critical
50011303,LUKE'S LOBSTER,685,3 AVENUE,10017.0,6466570066,Seafood,Critical
41613938,JUICE GENERATION CAFE GROUP,69,PRINCE STREET,10012.0,6463458045,Soups_Salads_Sandwiches_Beverages,Not Critical
50092021,GO GO CURRY,231,THOMPSON STREET,10012.0,2125052555,Japanese,Not Critical
41155290,CHIPOTLE MEXICAN GRILL,620,9 AVENUE,10036.0,2122473275,Tex-Mex,Not Critical
50071104,CLUB BONAFIDE,212,EAST   52 STREET,10022.0,6469186189,American,Not Critical
50063625,UTOPIA DINER,267,AMSTERDAM AVENUE,10023.0,2128736233,American,Critical
50075416,BUDDHA TACO BAR,3620,BROADWAY,10031.0,6464788086,Tex-Mex,Critical
40369016,VIAND COFFEE SHOP,673,MADISON AVENUE,10065.0,2127516622,European,Critical
41008413,TU SONRISA,132,AUDUBON AVENUE,10032.0,2125430218,Latin American,Not Critical
40367179,TWINS PUB,421,9 AVENUE,10001.0,2126431688,Irish,Critical
41641276,TABOONETTE,30,EAST   13 STREET,10003.0,2125107871,Mediterranean,Critical
41679646,GREENWICH VILLAGE COMEDY CLUB,99,MACDOUGAL STREET,10012.0,2127775233,American,Not Critical
50098200,DAILY PROVISIONS,375,AMSTERDAM AVENUE,10024.0,6467470604,American,Not Critical
50082980,ZIA MARIA LITTLE ITALY,138,MULBERRY STREET,10013.0,6465907873,Italian,Not Critical
50059422,AL HORNO,110,PEARL STREET,10005.0,2124808500,Mexican,Not Critical
50097325,CHARM'S,200,8 AVENUE,10011.0,6465908994,Thai,Critical
50109269,FLORIDITA 3865,3856,10 AVENUE,10034.0,5167083046,Spanish,Critical
40399174,GIGINO TRATTORIA,323,GREENWICH STREET,10013.0,2124311112,Italian,Not Critical
50064516,CROSS CULTURE KITCHEN,62,EAST  116 STREET,10029.0,2128603900,African,Critical
50087532,"IPIZZANY, KRISPY KRUNCHY CHICKEN",707,9 AVENUE,10019.0,2122456062,Chicken,Critical
40931258,P.J. CLARKE'S,915,3 AVENUE,10022.0,2123171616,American,Critical
41394237,GOLDEN CITY CHINESE RESTAURANT,423,9 AVENUE,10001.0,2126439232,Chinese,Not Critical
50047650,DESI GALLI,172,AVENUE B,10009.0,2124753374,Indian Subcontinent,Critical
50008995,THE ELK,128,CHARLES STREET,10014.0,2129334780,American,Critical
50017810,T.G.I. FRIDAY'S,211,WEST   34 STREET,10001.0,2125640539,American,Not Critical
41716906,STARBUCKS,393,3 AVENUE,10016.0,2124814690,Coffee/Tea,Not Critical
50086248,JOE & THE JUICE,2460,BROADWAY,10025.0,4154120414,Soups_Salads_Sandwiches_Beverages,Critical
50099434,NOWON,507,EAST    6 STREET,10009.0,5166607858,Korean,Not Critical
40609248,HEALTH KING,526,7 AVENUE,10018.0,2127646699,Soups_Salads_Sandwiches_Beverages,Not Critical
41212364,BECKETT'S,81,PEARL STREET,10004.0,2122691001,American,Critical
50059464,American Bar,33,GREENWICH AVENUE,10014.0,6466093615,American,Not Critical
41456522,MAGNOLIA BAKERY,107,EAST   42 STREET,10017.0,2126823588,Bakery,Not Critical
50104712,LOS 3 CHARROS MEXICAN RESTAURANT,57,LENOX AVENUE,10026.0,6466780891,Spanish,Critical
40561340,SUGAR BAR,254,WEST   72 STREET,10023.0,2125790222,American,Not Critical
50074960,MONK MCGINNS,57,MURRAY STREET,10007.0,9172658961,American,Critical
